company_name,sector,stage,amount,amount_usd,announced_on,lead_investor,investors,sources,confidence,summary
ONO,,Pre-Series A,$1.2M,1200000.0,2026-05-19,Aeravti Ventures,Aeravti Ventures | Tremis Capital,https://entrackr.com/snippets/agri-finance-startup-ono-raises-12-mn-led-by-aeravti-ventures-11850109,0.95,"Agri-finance startup ONO raised $1.2 million in a pre-Series A round led by Aeravti Ventures, with participation from Tremis Capital."
Trackk,,Seed,₹30 Cr ($3.6M),3614457.83,2026-05-18,Lightspeed India,Info Edge Ventures | Lightspeed India,https://entrackr.com/news/trading-app-trackk-raises-fresh-funds-from-lightspeed-and-info-edge-ventures-11846086,0.95,"Trackk, a Mumbai-based trading platform, raised Rs 30 crore in an extended seed round led by Lightspeed India with participation from Info Edge Ventures."
Legend of Toys,,Pre-Series A,₹21 Cr ($2.5M),2531325.3,2026-05-15,,Atrium Angels | DeVC | Enzia Ventures | Singularity Early Opportunities Fund | Stride | Veltis Capital,https://entrackr.com/snippets/legend-of-toys-raises-rs-21-cr-in-pre-series-a-round-11836971,0.95,Legend of Toys raised Rs 21 crore in a pre-Series A round from multiple investors to expand its premium toy brand across categories and markets.
Snabbit,,Series D,$56M,56000000.0,2026-04-27,Susquehanna VC,Bertelsmann India Investments | Mirae Asset Venture Investments | Susquehanna VC,https://entrackr.com/report/weekly-funding-report-weekly-funding-report/funding-and-acquisitions-in-indian-startup-this-week-apr-27-may-02-11788965,0.95,"Snabbit secured $56 million in a Series D round led by Susquehanna VC, with participation from Mirae Asset Venture Investments and Bertelsmann India Investments."
STCH,,Pre-Series A,$5.5M,5500000.0,2026-04-23,Omnivore,Kae Capital | Omnivore | WVC,https://yourstory.com/2026/04/textile-tech-startup-stch-raises-pre-series-a-round-led-by-omnivore,0.95,"STCH, a Bengaluru-based textile tech startup, raised $5.5 million in a pre-Series A round led by Omnivore, with participation from Kae Capital and WVC, to expand its AI-driven fabric R&D and manufacturing platform."
LightFury Games,,Pre-Series A,$11M,11000000.0,2026-04-23,,Blume Ventures | Hardik Pandya | Jasprit Bumrah | MIXI | MS Dhoni | Ravindra Jadeja | Sai Sudharsan | Shreyas Iyer | Tilak Varma | Times Internet | V3 Ventures,https://yourstory.com/2026/04/ms-dhoni-hardik-pandya-bumrah-others-invest-11m-game-tech-firm-lightfury,0.95,"LightFury Games raised $11 million in a pre-Series A round from investors including Blume, V3 Ventures, MIXI, Times Internet and several Indian cricketers. The funds will be used to complete development of its AAA mobile cricket game eCricket."
Curious Digital Pvt Ltd,,Seed,₹102 Cr ($12.3M),12289156.63,2026-04-22,Peak XV Partners,Blume Ventures | CRED | Peak XV Partners,https://yourstory.com/2026/04/kabeer-biswass-new-startup-raises-rs-108-cr-from-peakxv-blume,0.95,Consumer AI startup M (Curious Digital Pvt Ltd) raised Rs 102 crore in a Series Seed round led by Peak XV Partners with participation from Blume Ventures and CRED.
GobbleCube,,Series A,$15M,15000000.0,2026-04-15,Susquehanna Venture Capital,InfoEdge Ventures | Kae Capital | Susquehanna Venture Capital,https://yourstory.com/2026/04/funding-gobblecube-15-million-series-a-susquehanna-venture-capital,0.95,"GobbleCube, a Gurugram-based AI SaaS startup for digital commerce, raised $15 million in a Series A round led by Susquehanna Venture Capital, with participation from InfoEdge Ventures and Kae Capital."
TraqCheck,,Series A,$8M,8000000.0,2026-04-14,IvyCap Ventures,IIFL Fintech Fund | IvyCap Ventures,https://yourstory.com/2026/04/traqcheck-raises-8-million-led-by-ivycap-ventures,0.95,"TraqCheck, an HR tech startup, raised $8 million in a Series A round led by IvyCap Ventures with participation from IIFL Fintech Fund to expand its AI‑driven background screening and sourcing agents in Europe."
Pluckk,,Series A,₹100 Cr ($12M),12048192.77,2026-04-09,Euro Gulf Investment,Euro Gulf Investment,https://yourstory.com/2026/04/funding-pluckk-rs-100-cr-euro-gulf-targets-profitability-12-months,0.95,"Pluckk, a digital-first fresh food and clean-label FMCG brand, raised Rs 100 crore in a Series A1 round led by Euro Gulf Investment to expand offline retail, international markets, and AI-driven supply chain capabilities."
Rapido,,Series D,$240M,240000000.0,2026-05-16,Prosus,Accel | Prosus | WestBridge Capital,https://entrackr.com/news/rapido-raises-240-mn-led-by-prosus-at-3-bn-valuation-11837442 | https://entrackr.com/report/weekly-funding-report-weekly-funding-report/funding-and-acquisitions-in-indian-startups-this-week-may-11-may-16-11840734,0.92,Ride‑hailing platform Rapido raised $240 million in a growth‑stage round led by Prosus.
The Hosteller,,Series A,$100M,100000000.0,2026-04-16,PROMAFT Partners,ITI Growth Opportunities Fund | PROMAFT Partners,https://yourstory.com/2026/04/the-hosteller-raises-rs-150-cr-series-b-funding-promaft-partners,0.85,
Recovery-tech platform Owners ID,,Pre-Seed,,,2026-05-18,Crucifer Investments. The,Crucifer Investments. The,https://entrackr.com/snippets/recovery-tech-platform-owners-id-raises-pre-seed-round-led-by-crucifer-investments-11847198,0.8,
Sarla Aviation,,Series A,₹10 Cr ($1.2M),1204819.0,2026-04-16,,IndiGo Ventures Fund -I,https://yourstory.com/2026/04/indigo-invests-air-taxi-maker-sarla-aviation,0.8,"IndiGo Ventures Fund invested about Rs 10 crore in Sarla Aviation, an eVTOL air‑taxi startup, to support its operating and expansion needs."
Kuark Capital,,Undisclosed,$400M,400000000.0,2026-05-19,,,https://entrackr.com/snippets/kuark-capital-launches-400-mn-asia-focused-tech-hedge-fund-11850044,0.6,
ED,,Undisclosed,₹1154 Cr ($139M),139036144.58,2026-05-14,,,https://entrackr.com/news/ed-freezes-rs-526-cr-assets-in-gameskraft-probe-alleges-rs-1154-cr-user-losses-11835112,0.6,
Scripbox,,Bridge,₹170 Cr ($20.5M),20481928.92,2026-05-15,,,https://entrackr.com/exclusive/exclusive-scripbox-plans-rs-170-cr-debt-and-equity-raise-gears-up-for-ipo-11836622,0.6,"Bengaluru-based wealthtech startup Scripbox plans to raise up to Rs 170 crore through a mix of equity (Rs 60 crore) and debt (Rs 110 crore) to fund growth, an acquisition and prepare for an IPO."
